NAME,B01003_001E,state,county
"Southeastern Connecticut Planning Region, Connecticut",279025,09,180
"Western Connecticut Planning Region, Connecticut",621232,09,190
"Kent County, Delaware",185043,10,001
"New Castle County, Delaware",573030,10,003
"Sussex County, Delaware",247799,10,005
"District of Columbia, District of Columbia",672079,11,001
"Alachua County, Florida",281751,12,001
"Baker County, Florida",28186,12,003
"Bay County, Florida",181368,12,005
"Bradford County, Florida",27888,12,007
"Brevard County, Florida",620533,12,009
"Broward County, Florida",1946127,12,011
"Calhoun County, Florida",13593,12,013
"Charlotte County, Florida",195083,12,015
"Citrus County, Florida",158693,12,017
"Clay County, Florida",223436,12,019
"Collier County, Florida",387681,12,021
"Columbia County, Florida",70755,12,023
"DeSoto County, Florida",34719,12,027
"Dixie County, Florida",16952,12,029
"Duval County, Florida",1007189,12,031
"Escambia County, Florida",323275,12,033
"Flagler County, Florida",121710,12,035
"Franklin County, Florida",12418,12,037
"Gadsden County, Florida",43642,12,039
"Gilchrist County, Florida",18494,12,041
"Glades County, Florida",12324,12,043
"Gulf County, Florida",14772,12,045
"Hamilton County, Florida",13445,12,047
"Hardee County, Florida",25508,12,049
"Hendry County, Florida",40798,12,051
"Hernando County, Florida",201512,12,053
"Highlands County, Florida",103808,12,055
"Hillsborough County, Florida",1489634,12,057
"Holmes County, Florida",19626,12,059
"Indian River County, Florida",163856,12,061
"Jackson County, Florida",47652,12,063
"Jefferson County, Florida",14713,12,065
"Lafayette County, Florida",8035,12,067
"Lake County, Florida",398696,12,069
"Lee County, Florida",792692,12,071
"Leon County, Florida",295335,12,073
"Levy County, Florida",44276,12,075
"Liberty County, Florida",7650,12,077
"Madison County, Florida",18113,12,079
"Manatee County, Florida",416020,12,081
"Marion County, Florida",387697,12,083
"Martin County, Florida",160464,12,085
"Miami-Dade County, Florida",2685296,12,086
"Monroe County, Florida",81840,12,087
"Nassau County, Florida",94653,12,089
"Okaloosa County, Florida",214281,12,091
"Okeechobee County, Florida",40249,12,093
"Orange County, Florida",1440471,12,095
"Osceola County, Florida",406943,12,097
"Palm Beach County, Florida",1507453,12,099
"Pasco County, Florida",588758,12,101
"Pinellas County, Florida",960565,12,103
"Polk County, Florida",760961,12,105
"Putnam County, Florida",74235,12,107
"St. Johns County, Florida",292243,12,109
"St. Lucie County, Florida",346237,12,111
"Santa Rosa County, Florida",193719,12,113
"Sarasota County, Florida",449011,12,115
"Seminole County, Florida",474912,12,117
"Sumter County, Florida",137536,12,119
"Suwannee County, Florida",44484,12,121
"Taylor County, Florida",21422,12,123
"Union County, Florida",15551,12,125
"Volusia County, Florida",568229,12,127
"Wakulla County, Florida",34608,12,129
"Walton County, Florida",79846,12,131
"Washington County, Florida",25259,12,133
"Appling County, Georgia",18426,13,001
"Atkinson County, Georgia",8261,13,003
"Bacon County, Georgia",11129,13,005
"Baker County, Georgia",2830,13,007
"Baldwin County, Georgia",43669,13,009
"Banks County, Georgia",18757,13,011
"Barrow County, Georgia",86982,13,013
"Bartow County, Georgia",111153,13,015
"Ben Hill County, Georgia",17138,13,017
"Berrien County, Georgia",18257,13,019
"Bibb County, Georgia",156543,13,021
"Bleckley County, Georgia",12414,13,023
"Brantley County, Georgia",18171,13,025
"Brooks County, Georgia",16285,13,027
"Bryan County, Georgia",46681,13,029
"Bulloch County, Georgia",81372,13,031
"Burke County, Georgia",24427,13,033
"Butts County, Georgia",26074,13,035
"Calhoun County, Georgia",5528,13,037
"Camden County, Georgia",56036,13,039
"Candler County, Georgia",10972,13,043
"Carroll County, Georgia",122187,13,045
"Catoosa County, Georgia",68356,13,047
"Charlton County, Georgia",12711,13,049
"Chatham County, Georgia",298143,13,051
"Chattahoochee County, Georgia",9181,13,053
"Chattooga County, Georgia",24975,13,055
"Cherokee County, Georgia",274539,13,057
"Clarke County, Georgia",129267,13,059
"Clay County, Georgia",2853,13,061
"Clayton County, Georgia",298771,13,063
"Clinch County, Georgia",6722,13,065
"Cobb County, Georgia",769152,13,067
"Coffee County, Georgia",43161,13,069
"Colquitt County, Georgia",45907,13,071
"Columbia County, Georgia",159638,13,073
"Cook County, Georgia",17363,13,075
"Coweta County, Georgia",150071,13,077
"Crawford County, Georgia",12183,13,079
"Crisp County, Georgia",19995,13,081
"Dade County, Georgia",16196,13,083
"Dawson County, Georgia",28704,13,085
"Decatur County, Georgia",29118,13,087
"DeKalb County, Georgia",762105,13,089
"Dodge County, Georgia",19909,13,091
"Dooly County, Georgia",11026,13,093
"Dougherty County, Georgia",83915,13,095
"Douglas County, Georgia",146141,13,097
"Early County, Georgia",10683,13,099
"Echols County, Georgia",3705,13,101
"Effingham County, Georgia",67265,13,103
"Elbert County, Georgia",19725,13,105
"Emanuel County, Georgia",22961,13,107
"Evans County, Georgia",10740,13,109
"Fannin County, Georgia",25605,13,111
"Fayette County, Georgia",120689,13,113
"Floyd County, Georgia",98985,13,115
"Forsyth County, Georgia",260062,13,117
"Franklin County, Georgia",23840,13,119
