geoid,name,C17002001,"C17002001, Error",C17002002,"C17002002, Error",C17002003,"C17002003, Error",C17002004,"C17002004, Error",C17002005,"C17002005, Error",C17002006,"C17002006, Error",C17002007,"C17002007, Error",C17002008,"C17002008, Error"
05000US48369,"Parmer County, TX",9659,40,234,125,697,233,449,235,695,375,627,280,407,199,6550,581
05000US48371,"Pecos County, TX",12589,188,2004,661,1441,615,779,387,69,68,852,451,306,194,7138,802
05000US48373,"Polk County, TX",48053,115,3828,705,4847,929,2380,589,1967,592,4183,1070,1990,736,28858,1532
05000US48375,"Potter County, TX",110270,188,9719,1293,13305,1545,7254,1246,7167,1576,8900,1376,4238,985,59687,2263
05000US48377,"Presidio County, TX",6038,10,570,593,1622,768,333,264,34,41,1224,1028,110,118,2145,441
05000US48379,"Rains County, TX",12424,22,596,225,994,390,261,133,676,283,1171,351,71,46,8655,566
05000US48381,"Randall County, TX",140786,329,6639,1192,6753,1076,4567,946,5909,1176,8136,1500,3115,762,105667,1919
05000US48383,"Reagan County, TX",3244,2,72,66,289,180,65,77,315,235,375,243,252,217,1876,342
05000US48385,"Real County, TX",2542,169,86,86,435,227,201,114,79,66,191,146,186,128,1364,307
05000US48387,"Red River County, TX",11433,12,1074,276,1315,339,397,157,656,307,859,263,623,327,6509,475
05000US48389,"Reeves County, TX",12206,192,1200,560,1469,487,656,414,998,665,1149,586,45,75,6689,691
05000US48391,"Refugio County, TX",6536,19,700,259,428,197,407,189,319,187,750,294,158,107,3774,436
05000US48393,"Roberts County, TX",778,94,38,27,12,17,0,15,11,9,48,37,25,36,644,104
05000US48395,"Robertson County, TX",16774,8,946,274,1822,540,719,446,472,249,1545,548,321,136,10949,702
05000US48397,"Rockwall County, TX",116032,211,2730,686,2261,711,1800,853,1778,637,2441,719,1964,510,103058,1869
05000US48399,"Runnels County, TX",9646,39,388,148,616,168,517,198,617,263,641,273,501,180,6366,397
05000US48401,"Rusk County, TX",47551,98,2939,743,3856,788,2880,768,1886,531,3014,762,1289,391,31687,1338
05000US48403,"Sabine County, TX",9871,23,600,214,814,290,777,325,327,208,585,237,290,219,6478,530
05000US48405,"San Augustine County, TX",7649,31,950,331,1151,402,185,147,1060,410,562,182,86,76,3655,454
05000US48407,"San Jacinto County, TX",27824,34,1827,503,3101,895,1741,658,1550,578,2204,833,997,396,16404,1019
05000US48409,"San Patricio County, TX",68565,261,4911,1318,5476,1049,4231,1324,4310,706,4626,968,1981,579,43030,2100
05000US48411,"San Saba County, TX",5205,65,287,124,466,157,386,162,173,101,458,199,147,101,3288,302
05000US48413,"Schleicher County, TX",2411,2,165,111,51,45,55,43,134,89,58,71,78,102,1870,189
05000US48415,"Scurry County, TX",14418,339,740,299,671,367,511,314,1451,566,995,467,308,177,9742,828
05000US48417,"Shackelford County, TX",3134,10,222,122,141,89,113,64,50,41,130,94,102,81,2376,204
05000US48419,"Shelby County, TX",23940,21,2326,625,3309,680,1025,357,1381,403,1550,382,1252,574,13097,798
05000US48421,"Sherman County, TX",2400,216,105,77,46,35,162,137,53,39,472,283,44,39,1518,255
05000US48423,"Smith County, TX",231542,307,14146,2017,14116,2286,11116,1616,11979,1719,12648,1628,7246,1334,160291,3511
05000US48425,"Somervell County, TX",9342,5,377,124,230,143,474,315,304,156,345,230,221,189,7391,411
05000US48427,"Starr County, TX",65265,84,8481,1395,13381,1924,6290,1539,5229,1006,5427,1111,2135,896,24322,2245
05000US48429,"Stephens County, TX",8791,55,579,225,608,299,808,347,224,121,678,298,395,235,5499,511
05000US48431,"Sterling County, TX",1355,172,15,14,22,22,4,6,0,15,209,145,32,33,1073,189
05000US48433,"Stonewall County, TX",1206,113,42,43,63,56,121,78,40,39,143,90,23,21,774,145
05000US48435,"Sutton County, TX",3288,15,79,102,302,262,130,96,346,226,259,185,116,108,2056,334
05000US48437,"Swisher County, TX",6341,53,740,330,1128,370,478,152,287,137,581,303,288,128,2839,453
05000US48439,"Tarrant County, TX",2104688,871,106017,5191,123867,6606,83596,6178,91657,5163,124935,6699,54804,3791,1519812,10829
05000US48441,"Taylor County, TX",138239,189,8633,1115,10053,1306,6901,1103,5698,1030,9635,1250,6074,1434,91245,2332
05000US48443,"Terrell County, TX",851,224,38,41,32,29,0,15,6,9,121,91,26,38,628,201
05000US48445,"Terry County, TX",10898,84,900,398,1481,554,761,339,586,292,1309,464,315,186,5546,625
05000US48447,"Throckmorton County, TX",1589,183,59,31,163,74,130,99,74,51,69,38,78,49,1016,188
05000US48449,"Titus County, TX",30945,66,2031,448,3337,663,2179,602,2181,617,2485,655,1195,416,17537,938
05000US48451,"Tom Green County, TX",114298,385,6203,1051,7191,1239,5096,1099,7408,1261,7735,1236,3718,915,76947,2314
05000US48453,"Travis County, TX",1281739,730,77657,4920,63269,4898,33451,3122,39983,3540,52306,3826,25864,2470,989209,8988
05000US48455,"Trinity County, TX",13618,81,1358,416,836,285,561,204,1060,384,728,257,723,287,8352,634
05000US48457,"Tyler County, TX",17861,98,1285,314,2210,511,1079,322,1112,371,1052,264,585,293,10538,676
05000US48459,"Upshur County, TX",41192,106,2882,672,2578,525,3608,871,1590,380,2955,743,1198,395,26381,1253
05000US48461,"Upton County, TX",3161,3,113,103,426,165,320,194,195,118,117,91,110,85,1880,272
05000US48463,"Uvalde County, TX",23990,71,2006,771,3236,864,929,358,1244,469,2884,964,764,662,12927,1374
05000US48465,"Val Verde County, TX",45829,178,4381,890,3996,1068,3662,1326,2399,662,3532,1002,1611,534,26248,1603
05000US48467,"Van Zandt County, TX",60552,125,2847,684,4112,928,3050,828,2930,762,4757,1030,2437,648,40419,1809
05000US48469,"Victoria County, TX",89486,438,6154,1127,8134,1453,3421,747,4509,1026,5599,1002,2589,952,59080,2219
05000US48471,"Walker County, TX",61948,208,7165,1065,3944,981,4221,1011,4407,1205,4982,1352,2552,1014,34677,2118
05000US48473,"Waller County, TX",54763,205,2794,823,4593,1121,1746,610,2670,1012,3782,956,1569,808,37609,1516
05000US48475,"Ward County, TX",11130,18,644,373,976,401,197,121,724,459,812,347,374,239,7403,687
05000US48477,"Washington County, TX",33890,73,2178,559,2109,546,978,360,1058,407,1265,478,1601,538,24701,975
05000US48479,"Webb County, TX",264700,365,23722,2675,31994,3535,18550,2324,15832,1963,21153,3020,11666,2235,141783,4865
